Color,Color_Coded,Type,Type_Coded,Stop,Stop_Coded,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Dark,0,SUV,1,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Light,1,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Light,1,Sedan,0,No,0,,,,,
Light,1,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Dark,0,Sedan,0,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,SUV,1,Yes,1,,,,,
Dark,0,SUV,1,No,0,,,,,
Light,1,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Light,1,SUV,1,No,0,,,,,
Light,1,SUV,1,Yes,1,,,,,
Light,1,SUV,1,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,Sedan,0,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Light,1,SUV,1,No,0,,,,,
Dark,0,SUV,1,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,SUV,1,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,SUV,1,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Light,1,Sedan,0,No,0,,,,,
Dark,0,SUV,1,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,SUV,1,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,SUV,1,Yes,1,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Dark,0,SUV,1,No,0,,,,,
Light,1,Sedan,0,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Light,1,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,Yes,1,,,,,
Light,1,SUV,1,No,0,,,,,
Dark,0,SUV,1,Yes,1,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Dark,0,Sedan,0,Yes,1,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,Yes,1,,,,,
Light,1,Sedan,0,Yes,1,,,,,
Light,1,Sedan,0,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
Dark,0,SUV,1,No,0,,,,,
Dark,0,Sedan,0,No,0,,,,,
